"_parent_id","value","_id"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{id=5869; description=Wetpaint named in Lead411's Hottest Seattle Companies list; stoned_year=2010; stoned_month=6; stoned_day=8; source_url=http://www.lead411.com/seattle-companies.html; source_text=; source_description=LEAD411 LAUNCHES ""HOTTEST SEATTLE COMPANIES"" AWARDS; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","82a7e35f-9d99-476f-85d8-611fee1758eb"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{id=8702; description=Site-Builder Wetpaint Makes One For Itself, Using the Demand Media Playbook; stoned_year=2010; stoned_month=9; stoned_day=6; source_url=http://mediamemo.allthingsd.com/20100906/site-builder-wetpaint-makes-one-for-itself-using-the-demand-media-playbook/; source_text=; source_description=All Things D; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","a5ef0775-e5c0-469f-a690-310e5151981c"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{id=388; description=Zoho Reaches 2 Million Users; stoned_year=2008; stoned_month=8; stoned_day=7; source_url=; source_text=Mike,

Tomorrow @ 6AM PST, we are announcing that we now have 1 Million users. User registration stats are attached.

It took us 1 Year to get the first 100K users, 6 Months to get the second 100K, 4 Months to get the third etc. In the last 1 year we added 700K new users. The pace has been increasing.

The registration numbers really jumped after we added support for Google & Yahoo users. Currently over 30% of our users are coming from Google/Yahoo accounts (with more Google users than Yahoo users).

I'd love to provide more information on this.

Raju

; source_description=; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","68218ca2-dc3a-4f37-8c05-c00b20ae7de0"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{id=6577; description=Zoho Calendar Steps Out Of Beta With Sharing, Subscribing And More; stoned_year=2010; stoned_month=7; stoned_day=7; source_url=http://techcrunch.com/2010/07/07/zoho-calendar-steps-out-of-beta-with-sharing-subscribing-and-more/; source_text=; source_description=Zoho Calendar Steps Out Of Beta With Sharing, Subscribing And More; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","e005861e-a977-40d5-8bd0-779810f5f737"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{id=7360; description=Zoho Reports Steps Out Of Beta With Pricing Model And New Features; stoned_year=2009; stoned_month=12; stoned_day=15; source_url=http://techcrunch.com/2009/12/15/zoho-reports-steps-out-of-beta-with-pricing-model-and-new-features/; source_text=; source_description=Zoho Reports Steps Out Of Beta; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","900ac5a7-718b-4695-9c7d-7bc88087c60e"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{id=9588; description=Another Digg Exec Is Out: Longtime CFO John Moffett Leaves; stoned_year=2010; stoned_month=10; stoned_day=25; source_url=http://techcrunch.com/2010/10/25/another-digg-exec-is-out-longtime-cfo-john-moffett-leaves/; source_text=; source_description=Another Digg Exec Is Out: Longtime CFO John Moffett Leaves; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","602ffbbc-02d3-419b-ac88-b933c6535f56"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{id=24912; description=Digg Sold To LinkedIn AND The Washington Post And Betaworks; stoned_year=2012; stoned_month=7; stoned_day=13; source_url=http://techcrunch.com/2012/07/12/digg-sold-to-linkedin-and-the-washington-post-and-betaworks/; source_text=; source_description=Digg Sold To LinkedIn AND The Washington Post And Betaworks; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","acaa61a6-0b79-446d-b1e7-61be81bd43cf"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{id=42148; description=Digg Video launches.; stoned_year=2013; stoned_month=11; stoned_day=5; source_url=http://techcrunch.com/2013/11/05/digg-gives-videos-prime-placement-with-new-digg-video-site/; source_text=; source_description=Digg Gives Videos Prime Placement With New Digg Video Site; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","3db9e176-9ca8-453c-8715-c5d07e92d5c3"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{id=108; description=Facebook adds comments to Mini-Feed; stoned_year=2008; stoned_month=6; stoned_day=25; source_url=http://venturebeat.com/2008/06/25/facebook-adds-comment-to-the-mini-feed-its-like-friendfeed-is-looking-in-the-mirror/; source_text=; source_description=Facebook adds comments to the Mini-Feed. It's like FriendFeed is looking in the mirror; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","290520d1-d64a-4385-a6a6-f2df992e382d"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{id=764; description=fbFund for Developers awards its grants.; stoned_year=2008; stoned_month=10; stoned_day=15; source_url=http://www.techcrunch.com/2008/10/15/the-fbfund-gives-out-cash-to-25-facebook-developers/; source_text=; source_description=The fbFund Gives Out Cash To 25 Facebook Developers; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","7f133acc-53c0-4ab7-99d3-8014c0b959d6"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{id=6124; description=Facebook Movie Poster Announces 500 Million Facebook Users Before Facebook Does; stoned_year=2010; stoned_month=6; stoned_day=19; source_url=http://techcrunch.com/2010/06/19/facebook-movie-poster/; source_text=; source_description=Facebook Movie Poster Announces 500 Million Facebook Users Before Facebook Does; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","1f22f6a6-d55e-42e5-ad9f-752e40fb3207"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{id=6622; description=By the way, Facebook for iPhone has 57.8 million monthly active users. (Versus 8,810 for the Microsoft Kin.); stoned_year=2010; stoned_month=7; stoned_day=8; source_url=http://www.businessinsider.com/by-the-way-facebook-for-iphone-has-578-million-monthly-active-users-versus-8810-for-the-microsoft-kin-2010-7; source_text=; source_description=By the way, Facebook for iPhone has 57.8 million monthly active users. (Versus 8,810 for the Microsoft Kin.); stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","67205535-9b6a-49ca-90ee-70a4cda85ce8"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{id=6820; description=Zuckerberg Makes It Official: Facebook Hits 500 Million Members; stoned_year=2010; stoned_month=7; stoned_day=21; source_url=http://techcrunch.com/2010/07/21/facebook-500-million/; source_text=; source_description=Zuckerberg Makes It Official: Facebook Hits 500 Million Members; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","75e2c871-3a4b-46ea-a3b8-ae9c4c49181c"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{id=7832; description=Facebook partners with Y-Combinator; stoned_year=2010; stoned_month=8; stoned_day=27; source_url=http://techcrunch.com/2010/08/26/facebook-y-combinator/; source_text=; source_description=Facebook To Begin Giving Y Combinator Startups VIP Treatment; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","7eb091ad-3741-46b2-81e3-a5fae2be1ce8"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{id=8592; description=Facebook CEO Mark Zuckerberg Donates $100 Million To Fix Newark New Jersey Public Schools; stoned_year=2010; stoned_month=9; stoned_day=22; source_url=http://www.businessinsider.com/mark-zuckerberg-donates-100-million-newark-public-schools-2010-9; source_text=; source_description=Facebook CEO Mark Zuckerberg Donates $100 Million To Fix Newark New Jersey Public Schools; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","d776afcd-0bc6-41c7-b00d-7c77f951a0c9"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{id=9397; description=Facebook, KPCB Announce $250 Million Social Networking Fund; stoned_year=2010; stoned_month=10; stoned_day=21; source_url=http://www.businessinsider.com/live-facebook-to-announce-new-vc-fund-2010-10; source_text=; source_description=Facebook, KPCB Announce $250 Million Social Networking Fund; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","512256e1-a8d9-461e-be19-19d9583fd3a2"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{id=9795; description=200 Million People Use Facebook Mobile ??? Up 3X From Last Year; stoned_year=2010; stoned_month=11; stoned_day=3; source_url=http://www.businessinsider.com/200-million-people-use-facebook-mobile--up-3x-from-last-year-2010-11; source_text=; source_description=200 Million People Use Facebook Mobile ??? Up 3X From Last Year; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","70a0f451-c2f9-4bf2-84ca-edea5367728d"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{id=10041; description=Facebook Acquired FB.com From The American Farm Bureau To Use Internally; stoned_year=2010; stoned_month=11; stoned_day=15; source_url=http://techcrunch.com/2010/11/15/facebook-acquired-fb-com-from-the-american-farm-bureau/; source_text=; source_description=Facebook Acquired FB.com From The American Farm Bureau To Use Internally; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","5a7b2450-c4d2-4968-9504-2593758c4d04"
