"_parent_id","value","_id"
"b4108997-232e-4f76-b8bf-82c51a17292e","@{name=Babelgum; permalink=babelgum}","27b04991-f6fd-4c58-be18-ccb1b7e9f5be"
"363eb9c4-27da-4c92-beca-875ab52201a6","@{name=Plaxo Basic; permalink=plaxo-basic-and-premium}","f12f04c1-4ccf-4e2f-8512-67b65d9958ba"
"363eb9c4-27da-4c92-beca-875ab52201a6","@{name=Plaxo Pulse; permalink=plaxo-pulse}","9d883021-90a1-4f03-a402-e91b215d7c93"
"363eb9c4-27da-4c92-beca-875ab52201a6","@{name=Plaxo Personal Assistant; permalink=plaxo-personal-assistant}","23cc6131-4818-4555-8c1b-ba4800f5695b"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo.com; permalink=yahoo-com}","9976dc06-d6ff-4002-8be7-d6994a3bc8d1"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Finance; permalink=yahoo-finance}","a1d07437-1940-42c5-921b-34d3d13b0d04"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=My Yahoo!; permalink=my-yahoo}","aba2402c-15b0-43eb-9ff8-23b0e5323d41"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Answers; permalink=yahoo-answers}","23ac6c1c-0f33-446c-9b8c-c7053a7b38d4"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Mobile; permalink=yahoo-mobile}","6f3a2666-c308-426e-bd74-b67946ed5788"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Buzz; permalink=yahoo-buzz}","aefb35e0-7ba6-4deb-96ec-5e0d54a28643"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Open Search Platform; permalink=yahoo-open-search-platform}","1206e029-d4bd-44f3-be93-4eb27bd62279"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Fire Eagle; permalink=fireeagle}","23660112-eaa6-4141-93e6-c7d4da91a116"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Shine; permalink=shine}","c246cd47-1b80-4024-8536-dcf6b22e685a"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Shortcuts; permalink=yahoo-shortcuts}","07b5b29f-8a31-4250-b324-84bd1db4d623"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Brickhouse; permalink=yahoo-brickhouse}","a01033dc-d9aa-4dd7-a422-3fe908122337"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Pop; permalink=yahoo-pop}","117400af-489a-4719-9958-fcb2564b75b7"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! BOSS; permalink=yahoo-boss}","7d5c0e3b-1f8b-4bdb-b936-d1df4a40c12e"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Pipes; permalink=pipes}","57aa51f5-0231-43be-85a4-48f4157a779c"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=FareChase; permalink=farechase}","31ef1f07-6ef0-4154-8579-f1f3b1de4305"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=MObStor; permalink=mobstor}","613a09df-ee11-4ba7-b32c-5babcc7e0416"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Toolbar; permalink=yahoo-toolbar}","dd73cf5b-4e22-445f-bb66-0cc5c8b55d1c"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Maps; permalink=yahoo-maps}","9f389c8b-dbbe-44c6-9d21-81b1ed418e87"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Search; permalink=yahoo-search}","5571cedf-52ea-4f07-b9e3-8928b437bad9"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Local; permalink=yahoo-local}","4976b01d-8605-4643-b3c2-ed679970f489"
