"_parent_id","value","_id"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{external_url=http://www.geekwire.com/2011/rewind-ben-elowitz-wetpaint-ceo-building-type-media-company; title=GeekWire interview: Rewind - Ben Elowitz, Wetpaint CEO, on building a new type of media company}","98f6ff94-96f3-4c15-83e4-a1dda951a307"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{external_url=http://techcrunch.com/2012/06/17/search-and-social-how-two-will-soon-become-one/; title=Guest post by CEO Ben Elowitz in TechCrunch}","a6f586f1-613d-486b-b8ae-3f4a8d9326ad"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{external_url=http://allthingsd.com/20120516/what-to-expect-when-facebook-is-expecting-five-predictions-for-facebooks-first-public-year/; title=Guest post by CEO Ben Elowitz in AllThingsD}","71d8105c-7ae3-4fd4-9468-161af7ac8aa5"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{external_url=http://adage.com/article/digitalnext/facebook-biggest-player-advertising-s-540-billion-world/235708/; title=Guest post by CEO Ben Elowitz in AdAge}","9e884183-d85e-413b-97e8-9e770e524441"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{external_url=http://www.businessinsider.com/facebook-captures-14-percent-of-our-online-attention-but-only-4-percent-of-ad-spending-online-2012-6; title=Guest post by CEO Ben Elowitz in Business Insider}","60a3d8c4-e061-4cf2-b140-7816c21da5f9"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{external_url=http://allfacebook.com/wetpaint-media-data_b75963; title=AllFacebook coverage of Wetpaint}","5f566d58-2c8f-427b-89e8-92ee6ceab85e"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{external_url=http://adage.com/article/digital/celeb-site-wetpaint-shows-media-profit-facebook/237828/; title=Profile of Wetpaint in Ad Age}","19168fc1-6fed-4ee5-aa97-edcdcec66f03"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{external_url=http://allthingsd.com/20121018/how-to-boost-your-facebook-traffic-tips-and-tricks-from-wetpaint/; title=Interview with Wetpaint CEO Ben Elowitz in All Things D}","539466c1-4b29-4bcd-af2a-336d4ae179ba"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{external_url=http://www.xconomy.com/seattle/2012/10/19/wetpaint-starts-licensing-its-facebook-based-media-distribution-tech/; title=Profile of Wetpaint in Xconomy}","72d955f1-9852-4f14-ae69-68e7556369d7"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{external_url=http://www.online-tech-tips.com/cool-websites/zoho-free-online-office-applications-word-processor-spreadsheets-etc/; title=Zoho Overview}","c6dad115-4628-4319-86e1-9d078d9e27e8"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{external_url=http://www.online-tech-tips.com/cool-websites/free-online-web-meetings/; title=Zoho Meeting Review}","c1273c59-3837-4984-84a7-6cf02fdb8b66"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{external_url=http://mashpedia.com/Zoho; title=Zoho at Mashpedia}","0101e438-9bc3-4086-8098-c0bea2c96c44"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{external_url=http://www.sitebuilderreport.com/reviews/zoho-sites/our-review; title=Zoho Sites Review}","8219d08c-b49b-4c9a-9020-b59d633bf861"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{external_url=http://www.sitebuilderreport.com/reviews/zoho-sites/our-review; title=Zoho Sites Review}","7772d058-73d3-4fcd-8716-529425f6dc14"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{external_url=http://www.sitebuilderreport.com/reviews/zoho-sites/our-review; title=Zoho Sites Review}","b8712d86-2c7f-4834-94e7-fef0b7e8f3a7"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{external_url=http://www.sociableblog.com/2008/09/25/digg-closed-287-million-in-series-c/; title=Digg Closed $28.7 Million in Series C round led by Highland Capital Partners}","b325c7ca-21c9-4d88-bbd7-779e44c57329"
