"_parent_id","value","_id"
"014766e1-fb0a-4f32-9a7e-e775ff58abb5","@{description=Headquarters; address1=2145 Hamilton Avenue; address2=; zip_code=95125; city=San Jose; state_code=CA; country_code=USA; latitude=37.295005; longitude=-121.930035}","c57f1897-7501-4e3d-9461-7444b2bed1f9"
"7fd47eaf-9b8b-4807-8b52-2c99799c74f4","@{description=; address1=; address2=; zip_code=; city=New York City; state_code=NY; country_code=USA; latitude=40.757929; longitude=-73.985506}","a64ae3e1-90c6-45bb-a9f8-ea374c4d54f6"
"2173d0ab-8d98-4deb-a6be-d5524f26f37b","@{description=; address1=100 5th Ave Fl 6; address2=; zip_code=10011-6903; city=New York; state_code=NY; country_code=USA; latitude=40.7464969; longitude=-74.0094471}","769c0573-f12f-42aa-bfe2-b59219b3f94a"
"c98fd5f5-7306-4456-ba74-fa857ff4ff2b","@{description=; address1=; address2=; zip_code=; city=; state_code=CA; country_code=USA; latitude=37.269175; longitude=-119.306607}","cbcca32b-677d-455d-aa0e-d552559bcd84"
"9011d352-d0e4-46fe-acbc-be817dd92ea3","@{description=HQ; address1=1515 Broadway; address2=; zip_code=10036; city=New York; state_code=NY; country_code=USA; latitude=40.757725; longitude=-73.986011}","b01d7f44-2979-4d4a-8644-916a82c76e0c"
"b4108997-232e-4f76-b8bf-82c51a17292e","@{description=; address1=; address2=; zip_code=; city=London; state_code=; country_code=GBR; latitude=53.344104; longitude=-6.267494}","a1d300fd-cf2d-4f9f-a63c-613baae82c60"
"363eb9c4-27da-4c92-beca-875ab52201a6","@{description=HQ; address1=1050 Enterprise Way, 5th floor; address2=; zip_code=94089; city=Sunnyvale; state_code=CA; country_code=USA; latitude=37.387845; longitude=-122.055197}","ca935280-dd64-4a26-9c00-d03e7c5ed9d6"
"5268e155-dec4-4337-8855-2d2bb95c1ab6","@{description=Headquarters; address1=170 West Tasman Dr.; address2=; zip_code=95134; city=San Jose; state_code=CA; country_code=USA; latitude=37.408802; longitude=-121.95377}","53c09ffd-d839-4f4d-8095-086d58a7aea3"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{description=; address1=701 First Avenue; address2=; zip_code=94089; city=Sunnyvale; state_code=CA; country_code=USA; latitude=37.418531; longitude=-122.025485}","0d124426-6007-4a97-9069-a2c20e61153a"
"cd089dc3-d7aa-4e57-a1e9-38f0d4059ebf","@{description=; address1=475 Brannan St; address2=; zip_code=94107; city=San Francisco; state_code=CA; country_code=USA; latitude=37.778613; longitude=-122.395289}","29cc1f10-adda-4d17-aed8-e20c3b0fcf07"
"e18bb4fc-2ca1-4a6f-83f7-0ff88033e133","@{description=; address1=360 Post St. Ste. 1100; address2=; zip_code=94108; city=San Francisco; state_code=CA; country_code=USA; latitude=37.779558; longitude=-122.393041}","89cdaf92-427c-4041-b557-5d48681a8eab"
"3f4d8b57-c96a-454e-b4fd-4bf74207582d","@{description=Corporate Headquarters; address1=Wethered House, Pound Lane; address2=; zip_code=SL7 2AF; city=Buckinghamshire; state_code=; country_code=GBR; latitude=; longitude=}","a8e528c3-0321-462b-85e0-f169acb58686"
"dd935ed7-6daa-42ac-ab79-1380ee0e6939","@{description=HQ - Virginia; address1=1595 Spring Hill Road; address2=Suite 300; zip_code=22182; city=Vienna; state_code=VA; country_code=USA; latitude=38.926172; longitude=-77.245195}","42fee3ac-880a-497f-85cc-e5a8f5e20862"
"dd935ed7-6daa-42ac-ab79-1380ee0e6939","@{description=New York Office; address1=568 Broadway; address2=11th Floor, Suite 1105; zip_code=10012; city=New York; state_code=NY; country_code=USA; latitude=40.724604; longitude=-73.996876}","9e810e62-dd93-49f6-a85e-4169d7e35b34"
"dd935ed7-6daa-42ac-ab79-1380ee0e6939","@{description=Los Angeles Office; address1=10555-A Jefferson Blvd.; address2=; zip_code=90232; city=Culver City; state_code=CA; country_code=USA; latitude=34.0263021; longitude=-118.380954}","041c8268-99c2-47ee-af47-58e3ede5bb54"
"dd935ed7-6daa-42ac-ab79-1380ee0e6939","@{description=Chicago Office; address1=225 West Washington; address2=Ste. 2200; zip_code=60606; city=Chicago; state_code=IL; country_code=USA; latitude=; longitude=}","296b43ac-ef23-4b72-99e9-03b2776427ce"
"dd935ed7-6daa-42ac-ab79-1380ee0e6939","@{description=San Francisco Office; address1=505 Montgomery Street; address2=10th Floor, Suite 42; zip_code=94111; city=San Francisco; state_code=CA; country_code=USA; latitude=; longitude=}","2c0af080-5322-45a0-9fe6-56e66dfd88e2"
"dd935ed7-6daa-42ac-ab79-1380ee0e6939","@{description=Michigan Office; address1=2605 Crooks Road; address2=Unit A; zip_code=48084; city=Troy; state_code=MI; country_code=USA; latitude=42.557958; longitude=-83.167884}","41eddff6-1a4e-4f72-b7cd-c4cc323ed521"
"058caa71-092c-4b74-a2ba-554e81cefcd7","@{description=Headquarters; address1=888 East Walnut Street; address2=; zip_code=91101; city=Pasadena; state_code=CA; country_code=USA; latitude=34.1494713; longitude=-118.1327468}","ff32d509-ba7c-4b98-b62f-922bc7a589fc"
"058caa71-092c-4b74-a2ba-554e81cefcd7","@{description=New York; address1=584 Broadway; address2=8th Floor; zip_code=10012; city=New York; state_code=NY; country_code=USA; latitude=; longitude=}","46a79ae2-dcfd-4972-9a13-c69d77fa7ed3"
"058caa71-092c-4b74-a2ba-554e81cefcd7","@{description=London; address1=1 Maple Place; address2=; zip_code=W1T 4BB; city=London; state_code=; country_code=GBR; latitude=; longitude=}","08a61d39-33cd-46a5-aafe-4e0addda9b88"
"058caa71-092c-4b74-a2ba-554e81cefcd7","@{description=Tokyo; address1=4-12-25 Minami-Azabu; address2=Minato-ku; zip_code=1060047; city=Tokyo; state_code=; country_code=JPN; latitude=; longitude=}","cb6fe58f-4085-48a4-a2c3-e1ddca557597"
"058caa71-092c-4b74-a2ba-554e81cefcd7","@{description=Munich; address1=Maximilianstrasse 35a; address2=; zip_code=80539; city=Munich; state_code=; country_code=DEU; latitude=; longitude=}","2f384b3f-7be7-4623-9a6c-c31091985618"
"09fb2386-e12b-4f77-9e08-b0979aeadca9","@{description=; address1=3525 Eastham Dr.; address2=; zip_code=90232; city=Culver City; state_code=CA; country_code=USA; latitude=34.017606; longitude=-118.487267}","5c1ce66d-7dc2-40ac-b5db-f167bc55b86d"
"fdac669a-16c0-4071-a8ea-d2e1ee370b91","@{description=; address1=; address2=; zip_code=; city=; state_code=; country_code=USA; latitude=37.09024; longitude=-95.712891}","783f5f44-0392-405e-a995-5463ec9e6d2a"
"dc3c62df-bd12-4b64-b27d-0428c0172bfd","@{description=; address1=442 Post Street; address2=10th Floor; zip_code=94102; city=San Francisco; state_code=CA; country_code=USA; latitude=37.788482; longitude=-122.409173}","a908ea03-d063-4985-8f92-002c7cdf0d06"
"5e3a9f3d-0b85-456e-997f-d01b29fb881e","@{description=; address1=10180 Telesis Court Suite; address2=Suite  400; zip_code=92121; city=San Diego; state_code=CA; country_code=USA; latitude=32.902266; longitude=-117.20834}","d1e1dfdc-5095-441c-8627-40293be63cdf"
"0df90b88-b0a1-4884-8218-e16d4df464b0","@{description=; address1=7950 Jones Branch Drive; address2=; zip_code=22107; city=McLean; state_code=VA; country_code=USA; latitude=38.929289; longitude=-77.21658499999999}","b9724b5c-33b4-4a03-8a48-8a23aed7c2a6"
"c640b5e8-3b93-4cdc-b113-200f076ba3d1","@{description=; address1=; address2=; zip_code=; city=Austin; state_code=TX; country_code=USA; latitude=30.268735; longitude=-97.745209}","2bf77744-50e6-4851-aa6c-63298602e891"
"36d7fdfb-f9df-4218-9ad7-d9cf8f8255f7","@{description=; address1=475 Park Ave South; address2=10th Floor; zip_code=10016; city=New York; state_code=NY; country_code=USA; latitude=37.480999; longitude=-122.173887}","971b3505-dbae-400d-9a47-c1a0ad4f64b9"
"05a1c03b-f3df-44dc-903f-3a1f8284d3f1","@{description=; address1=180 North Stetson Avenue; address2=Suite 3500; zip_code=60601; city=Chicago; state_code=IL; country_code=USA; latitude=41.885619; longitude=-87.622309}","bfd74d16-5e9c-46f2-ae72-b1355893f9cd"
"48fc3467-7d41-4d96-8178-45a48353e27d","@{description=; address1=; address2=; zip_code=; city=Palo Alto; state_code=CA; country_code=USA; latitude=37.437328; longitude=-122.159928}","a17e84fd-e9f8-48b6-a944-36a0f1953dbd"
"72efb0bf-6ddb-40da-ad80-fea12c913da4","@{description=; address1=632 Broadway; address2=10th Floor; zip_code=10012; city=New York; state_code=NY; country_code=USA; latitude=40.72604; longitude=-73.995722}","be86f219-5b16-458a-bc8e-fe799bf575c9"
"5de570cc-c40f-4aed-ae09-3a9c33a9a254","@{description=; address1=440 N. Wolfe Road; address2=; zip_code=94085; city=Sunnyvale; state_code=CA; country_code=USA; latitude=37.384239; longitude=-122.012475}","70314742-7d95-4c68-8bd9-882bfd8be3bf"
"d6c507f3-7965-469e-9ffa-45df24b7bb83","@{description=; address1=; address2=; zip_code=; city=; state_code=; country_code=USA; latitude=37.09024; longitude=-95.712891}","a614937c-a9a4-4ffb-bdb3-49536c0b04a1"
"3441e6db-0240-4ce8-902d-6bf89322b3b9","@{description=; address1=60 E. Rio Salado Pkwy, Suite 400; address2=; zip_code=85281; city=Tempe; state_code=AZ; country_code=USA; latitude=33.429859; longitude=-111.938739}","ed7bd27e-b35e-471f-9e2d-b5839f543f79"
"3fc69d25-db01-4888-a795-0c74e780ccd2","@{description=; address1=400 Montgomery St, Suite 900; address2=; zip_code=94104; city=San Francisco; state_code=CA; country_code=USA; latitude=37.793148; longitude=-122.402567}","af1e3218-93f6-4670-bbc4-469ad1542c88"
"1cba7f18-e8cd-4ee6-ab0f-d267b1c0640a","@{description=; address1=6601 Owens Dr # 240; address2=; zip_code=94588; city=Pleasanton; state_code=CA; country_code=USA; latitude=37.697805; longitude=-121.907768}","e9c0f652-0a43-4020-bbc2-82d2fafa9ad5"
