"_parent_id","value","_id"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{description=; address1=710 - 2nd Avenue; address2=Suite 1100; zip_code=98104; city=Seattle; state_code=WA; country_code=USA; latitude=47.603122; longitude=-122.333253}","8b57cd74-a28f-4756-9643-1a17ff257057"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{description=; address1=270 Lafayette Street; address2=Suite 505; zip_code=10012; city=New York; state_code=NY; country_code=USA; latitude=40.7237306; longitude=-73.9964312}","5735d0be-25ab-4b74-b9d2-4013b154e5de"
"bdd3bb82-1f3c-4706-8bc1-6bba61bb5a8f","@{description=Headquarters; address1=4900 Hopyard Rd.; address2=Suite 310; zip_code=94588; city=Pleasanton; state_code=CA; country_code=USA; latitude=37.692934; longitude=-121.904945}","c19bb7a3-01ce-4736-8b15-fb562c46b9a4"
"d6852aaf-df76-45ab-8d51-252cb4eefeb0","@{description=Headquarters; address1=4900 Hopyard Rd; address2=Suite 310; zip_code=94588; city=Pleasanton; state_code=CA; country_code=USA; latitude=37.692934; longitude=-121.904945}","d1298a23-bd1d-4c4e-9e7c-db8f6bb86631"
"6f56bfd0-b8e6-45c1-a370-3720e97bd8f7","@{description=; address1=135 Mississippi St; address2=; zip_code=94107; city=San Francisco; state_code=CA; country_code=USA; latitude=37.764726; longitude=-122.394523}","90942ce9-1199-400c-a18e-5fe59fe74e16"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{description=Headquarters; address1=1601 Willow Road; address2=; zip_code=94025; city=Menlo Park; state_code=CA; country_code=USA; latitude=37.41605; longitude=-122.151801}","eef6a7a4-28df-46e8-9c15-8e83cfb9b28e"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{description=Europe HQ; address1=; address2=; zip_code=; city=Dublin; state_code=; country_code=IRL; latitude=53.344104; longitude=-6.267494}","ceeb8ed4-5093-4fa5-b5a9-ef4ea34c8c81"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{description=New York; address1=340 Madison Ave; address2=; zip_code=10017; city=New York; state_code=NY; country_code=USA; latitude=40.7557162; longitude=-73.97924690000001}","d3b46dde-ec48-4c36-9570-71556cf0cfbf"
"f5837bf0-2714-4048-b155-8988fb18a5f5","@{description=; address1=Suite 200; address2=654 High Street; zip_code=94301; city=Palo Alto; state_code=CA; country_code=ISR; latitude=; longitude=}","18445c8e-05ea-47de-b353-2b0b91fb9c38"
"db8c0356-0232-420e-85e3-b15f92b7b476","@{description=; address1=959 Skyway Road, Suite 200; address2=; zip_code=94070; city=San Carlos; state_code=CA; country_code=USA; latitude=37.506885; longitude=-122.247573}","06d1a263-8efd-4a37-8622-e7de1cdb9315"
"a5fcb88e-db70-4d90-842c-e6e9cc843d0c","@{description=Headquarters; address1=9229 W. Sunset Blvd.; address2=; zip_code=90069; city=West Hollywood; state_code=CA; country_code=USA; latitude=34.090368; longitude=-118.393064}","4ab37a0d-c65f-44ff-a1cf-764601a5bbbd"
"e7348693-e9e9-4fe8-9896-901b5b49e5ea","@{description=; address1=8536 National Blvd, Suite A; address2=; zip_code=90232; city=Culver City; state_code=CA; country_code=USA; latitude=34.025958; longitude=-118.379768}","7560125c-587e-4bc6-81f2-5b9afc12d825"
"cfb11523-7443-4961-87d9-7ef16537a046","@{description=; address1=407 N Maple Dr; address2=; zip_code=90210; city=Beverly Hills; state_code=CA; country_code=USA; latitude=34.076179; longitude=-118.39417}","71c16130-edde-44e4-b227-cfd043cf87f0"
