"_parent_id","value","_id"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{id=6820; description=Zuckerberg Makes It Official: Facebook Hits 500 Million Members; stoned_year=2010; stoned_month=7; stoned_day=21; source_url=http://techcrunch.com/2010/07/21/facebook-500-million/; source_text=; source_description=Zuckerberg Makes It Official: Facebook Hits 500 Million Members; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","284cdc21-e6d6-48b7-b055-6f2d43b70467"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{id=7832; description=Facebook partners with Y-Combinator; stoned_year=2010; stoned_month=8; stoned_day=27; source_url=http://techcrunch.com/2010/08/26/facebook-y-combinator/; source_text=; source_description=Facebook To Begin Giving Y Combinator Startups VIP Treatment; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","7664aa7a-2f0e-4787-a80c-039a48eba15b"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{id=8592; description=Facebook CEO Mark Zuckerberg Donates $100 Million To Fix Newark New Jersey Public Schools; stoned_year=2010; stoned_month=9; stoned_day=22; source_url=http://www.businessinsider.com/mark-zuckerberg-donates-100-million-newark-public-schools-2010-9; source_text=; source_description=Facebook CEO Mark Zuckerberg Donates $100 Million To Fix Newark New Jersey Public Schools; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","b57cf43c-2f33-484d-87ce-abca039a67a3"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{id=9397; description=Facebook, KPCB Announce $250 Million Social Networking Fund; stoned_year=2010; stoned_month=10; stoned_day=21; source_url=http://www.businessinsider.com/live-facebook-to-announce-new-vc-fund-2010-10; source_text=; source_description=Facebook, KPCB Announce $250 Million Social Networking Fund; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","1a3a08f4-664d-4490-abe3-ef1f95be8e2b"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{id=9795; description=200 Million People Use Facebook Mobile ??? Up 3X From Last Year; stoned_year=2010; stoned_month=11; stoned_day=3; source_url=http://www.businessinsider.com/200-million-people-use-facebook-mobile--up-3x-from-last-year-2010-11; source_text=; source_description=200 Million People Use Facebook Mobile ??? Up 3X From Last Year; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","fb9456cb-c57d-4d5a-a0d1-e805341ab793"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{id=10041; description=Facebook Acquired FB.com From The American Farm Bureau To Use Internally; stoned_year=2010; stoned_month=11; stoned_day=15; source_url=http://techcrunch.com/2010/11/15/facebook-acquired-fb-com-from-the-american-farm-bureau/; source_text=; source_description=Facebook Acquired FB.com From The American Farm Bureau To Use Internally; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","1d8c903d-fc29-49e3-bd83-b2af63b2586b"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{id=10645; description=Facebook Connect: 250 million monthly users, adding 10,000 sites every day; stoned_year=2010; stoned_month=12; stoned_day=8; source_url=http://www.bgr.com/2010/12/08/facebook-connect-250-million-monthly-users-adding-10000-sites-every-day/?utm_source=feedburner&utm_medium=twitter&utm_campaign=Feed%3A+TheBoyGeniusReport+%28BGR+|+Boy+Genius+Report%29; source_text=; source_description=Facebook Connect: 250 million monthly users, adding 10,000 sites every day; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","c87d502b-a5d3-45ea-a5eb-6330fdeaaea2"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{id=11506; description=Facebook Shares Hit $28.26 Per Share, That's a $70+ Billion Valuation; stoned_year=2011; stoned_month=1; stoned_day=14; source_url=http://techcrunch.com/2011/01/14/facebook-shares-hit-28-26-per-share-thats-a-70-billion-valuation/; source_text=; source_description=Facebook Shares Hit $28.26 Per Share, That's a $70+ Billion Valuation; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","5df2afec-4dd9-42a6-b10b-b2ba09be65a1"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{id=11507; description=Facebook Users Uploaded A Record 750 Million Photos Over New Year's; stoned_year=2011; stoned_month=1; stoned_day=3; source_url=http://techcrunch.com/2011/01/03/facebook-users-uploaded-a-record-750-million-photos-over-new-years/; source_text=; source_description=Facebook Users Uploaded A Record 750 Million Photos Over New Year's; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","c0f69f64-245b-4596-a34d-b061afd11024"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{id=11509; description=Facebook Considering A Leaseback Deal Worth As Much As $420 Million For New HQ; stoned_year=2011; stoned_month=1; stoned_day=4; source_url=http://techcrunch.com/2011/01/04/facebook-leaseback-420-million/; source_text=; source_description=Facebook Considering A Leaseback Deal Worth As Much As $420 Million For New HQ; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","6951ebb7-027f-44ba-a0a9-1cf1031a6b20"
