"_parent_id","value","_id"
"6f56bfd0-b8e6-45c1-a370-3720e97bd8f7","@{price_amount=; price_currency_code=USD; term_code=; source_url=; source_description=; acquired_year=2009; acquired_month=10; acquired_day=15; company=}","5ecf2f1c-1323-4df9-a120-df3251ef9954"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=cash; source_url=http://www.techcrunch.com/2007/07/19/breaking-facebook-has-acquired-parakey/; source_description=; acquired_year=2007; acquired_month=7; acquired_day=1; company=}","3dd33e10-b5b9-4897-afb0-6384d7c9d6aa"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=47500000; price_currency_code=USD; term_code=cash_and_stock; source_url=http://www.techcrunch.com/2009/08/10/facebook-acquires-friendfeed; source_description=Facebook Acquires FriendFeed; acquired_year=2009; acquired_month=8; acquired_day=10; company=}","819f8b73-d067-42d5-b9bd-07d28250a023"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2010/02/19/octazen-what-the-heck-did-facebook-just-buy-exactly-and-why/; source_description=; acquired_year=2010; acquired_month=2; acquired_day=19; company=}","1888c27f-e54a-4532-9c44-5110c37b5015"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2010/04/02/facebook-buys-up-divvyshot-to-make-facebook-photos-even-better/; source_description=Facebook Acquires Divvyshot to Improve Facebook Photos; acquired_year=2010; acquired_month=4; acquired_day=2; company=}","cdcff6b4-5b0c-4189-bb81-80831f47a54a"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://mashable.com/2010/05/26/facebook-acquires-sharegrove/; source_description=; acquired_year=2010; acquired_month=5; acquired_day=; company=}","50b75d20-aa93-4780-88cd-eda16e23d2a8"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=2500000; price_currency_code=USD; term_code=cash; source_url=http://techcrunch.com/2010/07/08/facebook-acquires-social-travel-recommendation-site-nextstop/; source_description=Facebook Acquires Social Travel Recommendation Site Nextstop; acquired_year=2010; acquired_month=9; acquired_day=25; company=}","02e8eea3-d138-4fe8-ae28-88d89519ba28"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=10000000; price_currency_code=USD; term_code=; source_url=http://paidcontent.org/article/419-facebook-makes-another-acq-hire-chai-labs-deal-estimated-at-10-million/; source_description=Facebook Makes Another ""Acq-Hire"" Chai Labs; Deal Estimated At $10 Million ; acquired_year=2010; acquired_month=8; acquired_day=15; company=}","9f3536fa-115f-4893-ba15-e5974c23455c"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2010/10/29/facebook-acquires-drop-io-nabs-sam-lessin/; source_description=Facebook Acquires Drop.io, Nabs Sam Lessin; acquired_year=2010; acquired_month=10; acquired_day=29; company=}","d4ae8efd-3e95-4038-a89e-0770482fd15b"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://www.businessinsider.com/facebook-zenbe-2010-11; source_description=Facebook Buys Yet Another NYC Startup -- Why Doesn't It Just Open An Engineering Office Here Already?; acquired_year=2010; acquired_month=11; acquired_day=16; company=}","2a5cbe58-b260-4b13-aa9e-cd77a9d3d699"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://emoney.allthingsd.com/20110125/facebook-acquires-mobile-advertising-company-out-of-stealth-mode/; source_description=All Things D; acquired_year=2011; acquired_month=1; acquired_day=25; company=}","0ee436b1-1fb1-46d7-8a39-9e5c305314a0"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2011/02/25/pursuit-hackruiter/; source_description=; acquired_year=2011; acquired_month=; acquired_day=; company=}","53fb51d1-3f8b-4968-a377-9307aeea36ef"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2011/03/01/facebook-beluga/; source_description=; acquired_year=2011; acquired_month=3; acquired_day=1; company=}","94015800-a201-40b8-9fef-04c700c5a39f"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=60000000; price_currency_code=USD; term_code=stock; source_url=http://techcrunch.com/2011/03/20/facebook-reportedly-acquires-snaptu-for-an-estimated-60-70-million/; source_description=Confirmed: Facebook Acquires Snaptu (For An Estimated $60???$70 Million); acquired_year=2011; acquired_month=9; acquired_day=17; company=}","6a6f448d-b248-44a1-af43-6bdc85f3f5dd"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://www.madebysofa.com/blog/facebook-acquires-sofa/; source_description=Facebook Acquires Sofa; acquired_year=2011; acquired_month=6; acquired_day=9; company=}","1b88b106-fd5f-4e3f-9e8e-a716ec95b20e"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2011/08/02/facebook-buys-digital-bookmaking-service-push-pop-press/; source_description=Facebook Buys Digital Bookmaking Service Push Pop Press; acquired_year=2011; acquired_month=8; acquired_day=2; company=}","e003f853-7972-45ba-ab8f-f792d242f4d0"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=CAD; term_code=cash; source_url=http://rahul.bosumatary.com/2011/10/10/facebook-friendly/; source_description=bsty; acquired_year=2012; acquired_month=3; acquired_day=3; company=}","39f8dd41-308f-43bc-8b7d-5fad448e4b50"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2011/11/07/facebook-acquires-mobile-video-and-image-editing-app-developer-digital-staircase/; source_description=Facebook Acq-hires Mobile Video And Image Editing App Developer Digital Staircase; acquired_year=2011; acquired_month=11; acquired_day=7; company=}","7b0b7c89-4e01-4446-978b-7ebaa1c536af"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2011/11/08/facebook-acquires-html5-app-delivery-network-strobe-sproutcore-lives-on/; source_description=Facebook Acquires HTML5 App Delivery Network Strobe; SproutCore Lives On; acquired_year=2011; acquired_month=11; acquired_day=8; company=}","20a3a3f2-f44e-442c-b0ae-74eb743234af"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2011/11/28/facebook-acquires-the-tech-behind-whoglue-a-company-that-sued-it-in-2009/; source_description=Facebook Acquires The Tech Behind WhoGlue, A Company That Sued It In 2009; acquired_year=2011; acquired_month=11; acquired_day=28; company=}","bd7994d8-6b45-4ecf-9a87-6d4901b53cdc"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2011/12/02/report-facebook-has-acquired-gowalla/; source_description=Report: Facebook Has Acquired Gowalla; acquired_year=2011; acquired_month=12; acquired_day=2; company=}","692443f1-f338-490c-b351-62ad5d7bcae4"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://mountainview.patch.com/articles/facebook-acquires-gazehawk-green-dot-acquires-loopt; source_description=Facebook Acquires GazeHawk; Green Dot Acquires Loopt; acquired_year=2012; acquired_month=3; acquired_day=10; company=}","6b55b83a-2e64-476e-b144-18e32bccb730"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://venturebeat.com/2012/02/29/facebook-caffeinated-mind/; source_description=Facebook acquires team behind YC alum Caffeinated Mind; acquired_year=2012; acquired_month=3; acquired_day=; company=}","f0a8cad5-1ce7-441a-a649-4d08fc6afc72"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=1010470000; price_currency_code=USD; term_code=cash_and_stock; source_url=http://techcrunch.com/2012/04/09/facebook-to-acquire-instagram-for-1-billion/; source_description=TechCrunch: Facebook Buys Instagram For $1 Billion, Turns Budding Rival Into Its Standalone Photo App; acquired_year=2012; acquired_month=4; acquired_day=9; company=}","abbb62b5-b6f8-488c-be80-990c40aaf7a5"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2012/04/13/facebook-ups-the-mobile-ante-again-buys-mobile-loyalty-rewards-startup-tagtile/; source_description=Facebook Ups The Mobile Ante Again; Buys Mobile Loyalty, Rewards Startup TagTile; acquired_year=2012; acquired_month=4; acquired_day=13; company=}","728be29e-c6df-4adb-ad32-cfdb1ce1b20d"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2012/05/04/facebook-buys-location-based-discovery-app-glancee/; source_description=Facebook Buys Location-Based Discovery App Glancee; acquired_year=2012; acquired_month=5; acquired_day=4; company=}","fbc0e000-4991-4fbb-9d47-3938fe43ea3b"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{price_amount=50000000; price_currency_code=USD; term_code=cash_and_stock; source_url=; source_description=; acquired_year=2012; acquired_month=6; acquired_day=21; company=}","d58e930f-a654-4044-82d7-4cdcf74bb87a"
