"_parent_id","value","_id"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{is_past=False; title=Co-Founder and VP, Social and Audience Development; person=}","0603e732-9cec-4f68-b8db-964b870ef630"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{is_past=False; title=Co-Founder/CEO/Board of Directors; person=}","8dd1d319-8305-4855-89c7-c78f54b796b4"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{is_past=False; title=COO/Board of Directors; person=}","39e9a51a-423b-4840-9530-50d95220ae79"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{is_past=False; title=SVP, Strategy and Business Development; person=}","510731f4-1cc8-4341-9c8d-cb7cc75c5460"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{is_past=False; title=Board; person=}","ec437336-bcbc-4dec-b406-410d323d56ae"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{is_past=False; title=Board Member; person=}","5294507e-2f97-40cf-ad52-a87dea973ca7"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{is_past=False; title=Board; person=}","5095dad8-a840-474d-8b7b-5443df8406de"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{is_past=False; title=Head of Technology and Product; person=}","50ff3006-afa9-42ea-b6b1-ca814f3addbf"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{is_past=True; title=CFO; person=}","e2cc49ce-9e71-42bc-ad3b-989538239da3"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{is_past=True; title=CFO/ CRO; person=}","98621ede-4af6-4b28-87b7-8563016feacd"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{is_past=True; title=Senior Vice President, Marketing; person=}","b40a4a8a-da87-4478-b10d-a7a5a1ce20c5"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{is_past=True; title=VP, Technology and Product; person=}","1f49bf82-5917-4418-95d9-b6c4b4704742"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{is_past=True; title=VP Marketing; person=}","2b81a990-568e-4427-a248-1f2d9b057dc1"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{is_past=True; title=VP User Experience; person=}","d1c796ac-e1c5-4616-a45e-76e81e84ca3c"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{is_past=True; title=VP Engineering; person=}","b0dedf94-3a6f-480f-ae17-580aa2afe07a"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{is_past=True; title=Executive Editor; person=}","52274ce1-b16a-4dcb-b9f0-740a57b560b5"
