"_parent_id","value","_id"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{name=Wikison Wetpaint; permalink=wetpaint-wiki}","a8311a60-6538-4c74-a423-1625319870bd"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{name=Wetpaint Social Distribution System; permalink=wetpaint-social-distribution-system}","50b29d09-2f0c-42a7-84c4-46d1e506af7f"
"d6852aaf-df76-45ab-8d51-252cb4eefeb0","@{name=Zoho Office Suite; permalink=zoho-office-suite}","7eb52f4c-321a-4201-8bb6-30b80868fe0e"
"d6852aaf-df76-45ab-8d51-252cb4eefeb0","@{name=Zoho CRM; permalink=zoho-crm}","6be0d594-9888-4c10-a031-642230e6ef93"
"d6852aaf-df76-45ab-8d51-252cb4eefeb0","@{name=Zoho Assist; permalink=zoho-assist}","808a4fea-eaef-405e-b461-d7ee2cceb191"
"6f56bfd0-b8e6-45c1-a370-3720e97bd8f7","@{name=Digg; permalink=digg}","303a9d45-a7fd-4f06-9a3b-8486c96a8fb3"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{name=Facebook Platform; permalink=facebook-platform}","448add16-8384-4851-bc03-a5894db57751"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{name=Facebook News Feed; permalink=facebook-news-feed}","f6d9586f-434a-4bf5-9e90-982e848c9b2d"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{name=Facebook Chat; permalink=facebook-chat}","6c7393db-9bb6-4dfc-af4d-acb286d55c30"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{name=Facebook Connect; permalink=facebook-connect}","6a481c4f-035c-420b-94f9-8ebea7c141ea"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{name=Facebook Mobile; permalink=facebook-iphone-app}","6c4e1a08-5536-401d-97d3-b6300f003e89"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{name=Facebook; permalink=facebook-zero}","696e9d93-62d6-460d-aab1-4eb1a5987dc5"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{name=Facebook Lite; permalink=facebook-lite}","97cd2018-8f1d-4465-a7d7-6b86141a5d0d"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{name=Facebook Places; permalink=facebook-places}","591ba4c7-17c2-45ec-bc41-7852a9bfacd1"
